Payment_type,Credit_type,Invoice_amount,Customer_visit,Customer_Saisfaction
GPay,Contract,110221,9,8
COD,NPL,186653,5,8
GPay,NPL,174442,9,9
COD,Offerings,183938,7,6
GPay,Offerings,52450,9,9
GPay,Contract,99562,8,6
GPay,Offerings,69166,6,7
GPay,Offerings,133057,4,8
COD,NPL,55432,8,6
Cash,Offerings,173903,10,6
Cash,NPL,120202,4,7
Cash,NPL,142006,3,7
Cash,NPL,52147,10,6
Cash,NPL,153274,8,6
GPay,Contract,195658,6,8
COD,Contract,106934,5,7
Cash,Offerings,161172,7,9
COD,NPL,184324,7,9
Cash,NPL,84029,3,6
GPay,Offerings,154594,10,7
COD,Offerings,169282,9,7
Cash,Offerings,177805,3,6
COD,Offerings,144936,5,9
COD,Offerings,88471,8,8
COD,Contract,140441,5,8
Cash,Offerings,114531,9,7
Cash,Contract,57808,7,8
Cash,Contract,94751,8,6
COD,Offerings,56770,7,7
GPay,Offerings,83412,10,8
GPay,Contract,72969,4,6
Cash,Offerings,183646,3,8
COD,NPL,80152,10,8
Cash,Offerings,190103,8,6
COD,Contract,108712,9,6
COD,NPL,113721,6,7
COD,Offerings,183254,7,8
Cash,NPL,87511,4,7
Cash,Contract,187137,10,7
Cash,Offerings,173114,3,7
COD,Offerings,156549,8,6
Cash,Contract,65652,7,6
COD,Contract,140656,9,9
Cash,Contract,79769,9,9
COD,Offerings,146915,7,8
COD,Contract,87704,8,8
GPay,Contract,113099,3,8
Cash,Contract,50827,7,7
GPay,Offerings,138217,3,7
COD,Offerings,74654,3,6
GPay,Contract,116090,5,6
COD,Contract,153556,4,9
GPay,Contract,104434,6,8
GPay,NPL,124865,4,9
Cash,Offerings,117649,6,8
GPay,Contract,113433,8,8
GPay,Contract,82603,9,7
COD,Offerings,89788,8,7
Cash,Offerings,105605,7,8
COD,Offerings,127286,4,9
GPay,Contract,96012,5,8
Cash,Contract,161619,4,8
Cash,NPL,140768,5,8
GPay,Offerings,190830,10,7
Cash,Offerings,184516,9,7
GPay,NPL,163508,6,6
GPay,NPL,139572,7,9
GPay,NPL,165935,9,6
Cash,NPL,181797,7,8
Cash,Contract,52144,8,8
GPay,Offerings,92402,5,9
GPay,Contract,124572,8,6
Cash,Contract,142215,4,7
COD,Offerings,143112,9,7
GPay,Contract,101505,6,6
COD,NPL,157612,6,6
GPay,NPL,147027,3,9
Cash,Contract,117060,6,8
GPay,NPL,60804,3,8
Cash,NPL,186713,8,9
Cash,Contract,165300,8,9
GPay,Contract,53089,10,8
Cash,NPL,168355,5,9
GPay,Contract,156038,4,8
Cash,Contract,145846,3,6
Cash,Contract,104733,9,9
COD,Offerings,70837,3,6
GPay,NPL,124359,4,6
COD,Offerings,56389,8,6
COD,NPL,166806,8,8
COD,NPL,176310,8,8
COD,Contract,195695,9,8
Cash,Contract,193016,5,9
GPay,NPL,164675,4,9
GPay,Contract,139293,9,8
Cash,Contract,98913,5,7
COD,Contract,123485,5,8
Cash,Offerings,108656,9,6
GPay,Contract,151838,9,6
COD,Contract,138297,6,8
COD,Offerings,120727,3,9
COD,Contract,61261,9,6
COD,NPL,91869,8,6
Cash,Offerings,130276,9,9
GPay,Contract,169776,8,6
GPay,Offerings,142335,4,7
GPay,Offerings,182108,4,8
GPay,Contract,163625,5,9
GPay,Offerings,167814,6,7
Cash,Contract,173152,4,9
GPay,NPL,155249,3,7
COD,Contract,105546,8,8
GPay,NPL,196691,6,7
GPay,NPL,157259,4,8
Cash,Contract,109068,10,9
COD,NPL,58755,3,9
GPay,NPL,199349,9,6
COD,Contract,129358,8,9
Cash,Offerings,147569,10,6
GPay,NPL,103677,7,6
Cash,Offerings,186235,6,7
COD,NPL,190127,10,6
GPay,NPL,50126,4,8
Cash,Contract,120244,6,6
GPay,NPL,106277,7,7
GPay,Contract,192832,6,9
GPay,NPL,104074,5,7
GPay,Offerings,131474,3,6
GPay,Offerings,94602,7,8
COD,NPL,197630,6,7
GPay,Contract,53986,9,7
Cash,Contract,176616,6,9
COD,Contract,121748,9,8
GPay,Contract,157823,10,8
Cash,NPL,147362,4,6
Cash,Offerings,53501,4,6
COD,Contract,152745,9,8
Cash,Offerings,147846,7,9
GPay,Offerings,112898,7,9
Cash,NPL,67661,7,9
COD,NPL,117732,9,9
Cash,Offerings,80825,10,6
COD,Contract,106444,6,6
GPay,NPL,154466,3,8
COD,Contract,170452,7,7
Cash,Contract,108146,8,8
COD,NPL,159637,7,8
COD,Offerings,50372,3,9
Cash,Offerings,69596,3,6
Cash,Offerings,146043,10,9
COD,NPL,149052,9,7
COD,Contract,151093,9,7
Cash,NPL,83061,9,6
COD,Contract,51474,9,9
GPay,Contract,98301,9,6
Cash,Contract,155920,3,6
GPay,Contract,88983,3,7
GPay,Contract,176151,6,6
GPay,Offerings,140385,8,7
Cash,NPL,135989,3,9
Cash,Offerings,88651,10,9
Cash,Contract,71166,9,8
GPay,Contract,127873,3,9
GPay,Contract,57463,10,8
GPay,Contract,147187,6,9
GPay,Offerings,63414,9,8
Cash,Contract,78685,8,6
COD,NPL,142020,6,8
GPay,Contract,61282,4,8
COD,NPL,144088,3,9
Cash,NPL,97569,6,6
GPay,NPL,72686,7,8
COD,Contract,167093,6,6
GPay,Offerings,67555,3,8
GPay,Contract,144249,8,9
COD,NPL,131756,6,9
Cash,Contract,177967,8,7
COD,NPL,154684,4,8
Cash,Contract,171770,5,6
GPay,Offerings,101782,4,8
Cash,Contract,181520,8,8
COD,NPL,54722,4,7
Cash,Contract,87760,6,7
GPay,Contract,108069,4,9
Cash,Contract,156343,3,7
Cash,Offerings,168495,10,6
COD,Offerings,65917,7,6
GPay,Contract,154069,10,7
GPay,Contract,199407,8,8
COD,Contract,58403,10,8
Cash,NPL,81628,4,7
Cash,Contract,150561,10,6
GPay,Offerings,116687,9,7
Cash,Offerings,112781,6,9
Cash,NPL,54991,4,7
COD,Contract,190205,8,7
GPay,Offerings,51836,4,9
GPay,NPL,133078,6,7
GPay,Offerings,181076,9,7
COD,Offerings,85209,10,6
COD,Offerings,59846,4,9
Cash,NPL,159007,8,7
GPay,Offerings,91823,6,9
Cash,NPL,102856,8,7
COD,Contract,108294,7,9
Cash,Contract,127840,5,6
GPay,Contract,92951,9,9
COD,Offerings,54183,7,7
GPay,NPL,71919,8,9
COD,NPL,159702,3,6
GPay,NPL,75243,6,7
Cash,Offerings,135016,9,6
Cash,Contract,174097,4,7
COD,NPL,74433,7,8
GPay,Contract,109941,6,9
Cash,Contract,159886,3,8
Cash,NPL,164620,8,9
Cash,Contract,199680,10,8
COD,Offerings,152414,9,6
GPay,Contract,89371,8,8
Cash,NPL,63522,3,8
GPay,Offerings,120872,6,6
COD,NPL,64452,3,7
COD,Contract,153125,6,9
Cash,NPL,156383,6,7
COD,Contract,159070,3,7
GPay,NPL,83756,10,7
COD,Offerings,171029,8,7
GPay,NPL,196563,8,6
COD,Offerings,96217,5,9
Cash,Offerings,89789,6,6
GPay,NPL,176303,7,9
Cash,Offerings,115951,5,6
COD,Contract,179490,6,8
COD,Offerings,131641,4,6
COD,Contract,76855,7,9
GPay,Offerings,115183,7,9
Cash,Offerings,78773,5,9
COD,NPL,138745,5,8
COD,NPL,136892,8,8
GPay,Offerings,198808,4,6
GPay,Contract,55593,3,8
Cash,NPL,169581,6,8
Cash,Offerings,71027,7,7
Cash,Contract,128400,3,7
Cash,Offerings,64024,8,7
GPay,Offerings,84682,7,6
Cash,Offerings,77277,3,8
GPay,Offerings,160511,9,7
COD,Offerings,198921,3,7
Cash,Offerings,144255,9,6
Cash,Offerings,180431,10,7
GPay,Contract,134140,3,6
Cash,Offerings,93245,9,7
GPay,Contract,101290,7,6
Cash,Offerings,53376,7,9
GPay,NPL,72373,10,9
Cash,NPL,72157,4,6
Cash,Offerings,74154,10,8
Cash,NPL,160637,8,9
Cash,Contract,166953,9,7
COD,Offerings,115438,6,8
COD,NPL,192964,7,9
Cash,Offerings,144008,4,8
COD,Offerings,91596,6,7
GPay,Offerings,81185,4,9
Cash,NPL,172431,4,8
GPay,NPL,63660,6,7
GPay,NPL,64512,8,8
COD,Contract,68705,9,8
GPay,Contract,53727,10,8
COD,Contract,60505,4,8
GPay,Contract,56778,6,9
Cash,NPL,109572,7,8
Cash,NPL,182938,6,8
COD,NPL,63382,10,6
COD,Offerings,81921,6,8
COD,NPL,150870,10,9
GPay,Offerings,164640,3,9
COD,NPL,190403,4,7
COD,Contract,77670,7,8
COD,NPL,120777,9,8
GPay,Offerings,179351,4,9
Cash,Offerings,80164,5,9
GPay,NPL,55833,10,8
GPay,Offerings,160515,6,7
GPay,Offerings,58639,4,7
GPay,Contract,138853,4,8
COD,Offerings,65493,10,7
GPay,Offerings,129180,6,6
Cash,Contract,76324,7,6
COD,NPL,185828,4,9
Cash,NPL,107436,9,8
COD,NPL,69410,3,6
COD,Contract,96926,10,6
COD,Contract,132757,3,8
COD,NPL,141530,8,9
GPay,Offerings,119628,3,7
GPay,NPL,153140,6,6
GPay,Offerings,55029,5,9
Cash,Offerings,80312,6,9
GPay,NPL,58243,5,7
GPay,NPL,150794,10,7
COD,NPL,122051,4,9
GPay,Offerings,140980,6,6
Cash,Offerings,83975,7,6
Cash,Contract,123001,6,8
GPay,NPL,85666,7,8
COD,NPL,100765,9,8
GPay,NPL,114762,6,8
COD,Offerings,70498,4,8
Cash,NPL,102909,5,9
Cash,Contract,60663,9,8
Cash,NPL,63714,4,6
GPay,NPL,142928,10,7
Cash,NPL,146268,8,8
COD,NPL,126436,5,8
COD,Offerings,182020,3,9
Cash,Contract,145133,4,8
GPay,NPL,132270,10,9
GPay,Offerings,105325,3,6
Cash,Offerings,54628,4,8
GPay,Contract,149125,7,7
GPay,NPL,184077,10,7
GPay,NPL,82687,6,6
GPay,Offerings,53709,5,9
GPay,Contract,164182,10,9
GPay,Offerings,82111,7,6
Cash,NPL,138070,4,6
Cash,Contract,183759,5,7
COD,NPL,97788,3,9
GPay,Contract,145237,6,9
Cash,NPL,117373,7,8
COD,Offerings,80405,6,7
Cash,Offerings,158266,8,7
COD,Offerings,155681,5,7
COD,Contract,90026,4,9
COD,Contract,183277,5,8
COD,Contract,67876,10,6
Cash,Contract,153172,5,7
GPay,Offerings,92311,9,9
GPay,Contract,141805,4,6
GPay,Offerings,144167,5,6
Cash,Contract,94569,3,8
Cash,Contract,183396,4,7
Cash,NPL,185404,4,6
GPay,Offerings,194522,6,7
COD,Offerings,164472,4,9
Cash,Offerings,79463,3,8
Cash,Contract,129731,5,6
GPay,NPL,168195,5,8
GPay,Contract,72545,6,8
COD,Contract,148866,6,9
GPay,NPL,55616,7,9
GPay,NPL,113509,7,6
Cash,Offerings,55101,10,6
Cash,Offerings,188778,3,9
COD,Contract,63227,10,7
Cash,Offerings,158573,4,9
COD,Offerings,183461,10,9
Cash,Offerings,180976,3,6
COD,NPL,192304,4,8
Cash,Contract,192180,8,6
COD,Offerings,193085,4,9
COD,Contract,163399,6,9
Cash,NPL,157250,10,6
GPay,NPL,98821,4,8
Cash,Offerings,181352,4,8
Cash,Offerings,90013,5,7
COD,Contract,111281,10,7
Cash,Contract,175261,8,8
GPay,Contract,137624,9,6
COD,NPL,67839,7,7
Cash,Offerings,133347,8,6
COD,Contract,166194,10,9
Cash,NPL,182066,7,9
COD,Contract,133573,4,7
COD,Offerings,145006,3,9
COD,Offerings,81138,7,8
Cash,NPL,73748,4,6
COD,Contract,171272,4,7
GPay,Offerings,98776,3,6
GPay,Offerings,59286,10,8
Cash,Offerings,136340,6,9
Cash,Contract,87506,8,7
GPay,NPL,130098,3,8
COD,NPL,84638,7,7
GPay,NPL,61094,3,9
Cash,Contract,156520,4,9
COD,Offerings,104249,5,9
COD,NPL,57474,7,6
Cash,NPL,95034,4,9
GPay,NPL,138149,7,9
COD,NPL,111463,5,6
Cash,NPL,165763,7,9
GPay,NPL,167312,5,6
GPay,Offerings,80769,8,7
GPay,Offerings,145557,5,8
GPay,NPL,138721,6,6
COD,NPL,55441,10,6
GPay,Contract,197356,3,7
COD,Contract,64295,4,8
GPay,NPL,105087,8,6
Cash,Contract,177826,3,6
Cash,NPL,187254,10,7
GPay,Offerings,139562,4,9
GPay,Contract,159613,8,6
Cash,Contract,189922,4,9
GPay,NPL,74748,8,9
Cash,Offerings,186501,7,7
GPay,Offerings,188147,5,7
Cash,Offerings,84012,9,6
GPay,Offerings,119443,4,9
COD,NPL,134486,5,6
Cash,Contract,87366,10,7
GPay,Offerings,75808,3,9
Cash,NPL,92367,6,6
COD,Offerings,75988,6,8
Cash,Offerings,128634,6,6
Cash,NPL,64383,9,6
Cash,Contract,181749,4,6
COD,Offerings,198226,10,6
COD,Contract,192697,4,7
Cash,NPL,121942,10,8
COD,Contract,79833,4,9
COD,Offerings,110911,9,8
Cash,NPL,167714,8,8
GPay,Contract,101411,9,7
GPay,NPL,69414,5,7
GPay,Contract,63363,6,9
GPay,Offerings,96110,8,6
COD,Contract,135841,8,6
GPay,NPL,61598,8,7
GPay,Offerings,196632,6,8
Cash,Contract,82878,9,9
Cash,Contract,52296,4,8
COD,Offerings,94857,9,7
Cash,Contract,61263,3,7
COD,Offerings,199738,4,8
COD,Contract,128126,5,8
COD,NPL,140775,4,6
Cash,Contract,171232,4,8
COD,NPL,79848,5,6
COD,Offerings,160093,10,9
COD,NPL,113605,4,8
Cash,Offerings,119948,6,7
GPay,Contract,73964,7,8
Cash,NPL,135646,4,9
Cash,NPL,140106,6,7
GPay,NPL,95717,5,9
COD,Offerings,142925,4,6
COD,Offerings,179266,5,6
Cash,Contract,143483,7,9
COD,Offerings,55991,9,6
Cash,Contract,103381,8,9
GPay,Contract,194800,6,9
GPay,Offerings,132009,7,9
GPay,Contract,60948,7,7
Cash,Contract,93452,8,7
GPay,Offerings,174115,7,6
COD,NPL,83224,3,8
Cash,NPL,88039,9,8
GPay,Offerings,69588,3,9
Cash,NPL,168787,6,9
COD,Contract,122710,9,9
GPay,Offerings,107864,3,8
GPay,NPL,106511,9,7
Cash,Offerings,194523,9,8
GPay,Offerings,161399,5,8
Cash,Contract,91469,7,8
GPay,NPL,132912,9,8
Cash,Contract,113891,5,9
COD,NPL,60928,8,8
GPay,NPL,73162,9,9
COD,Contract,162457,5,6
GPay,NPL,124259,5,7
Cash,Offerings,118055,7,7
GPay,Contract,189865,9,8
GPay,NPL,92904,3,9
Cash,Contract,130969,6,9
COD,Offerings,90837,9,9
GPay,Contract,89288,6,6
COD,NPL,102921,6,9
GPay,Contract,169667,5,8
COD,Offerings,134954,3,9
COD,Contract,157778,8,9
COD,Offerings,168649,10,6
COD,Offerings,173406,8,9
Cash,NPL,152363,6,8
COD,NPL,127622,6,6
COD,Contract,65264,7,8
COD,NPL,95968,9,7
GPay,NPL,99560,9,7
Cash,Contract,106901,6,8
COD,Contract,180678,10,6
GPay,NPL,152803,6,7
Cash,Offerings,160727,7,6
COD,Contract,173793,4,9
COD,NPL,199763,3,6
COD,Offerings,96384,8,8
COD,Offerings,94657,6,6
Cash,Offerings,151748,3,6
GPay,Contract,191014,10,9
COD,NPL,187147,10,9
COD,Contract,79166,6,8
Cash,NPL,119684,9,6
Cash,Offerings,90994,9,7
Cash,Contract,112469,7,8
COD,NPL,94624,7,6
COD,Offerings,156694,8,9
COD,Offerings,53254,7,9
COD,NPL,88226,8,6
COD,NPL,192081,5,6
GPay,Offerings,197410,3,7
COD,Contract,143809,3,9
COD,NPL,163751,9,9
GPay,Offerings,139006,7,9
Cash,Contract,146049,5,9
GPay,Offerings,165074,7,7
GPay,Contract,128912,9,8
COD,Offerings,66816,6,7
GPay,Offerings,104387,6,6
Cash,Offerings,154006,7,9
GPay,Contract,118586,6,6
GPay,Offerings,83156,10,6
GPay,Offerings,179859,4,9
GPay,Offerings,67004,7,6
GPay,Offerings,70620,3,8
COD,NPL,146309,6,9
COD,NPL,74983,10,7
COD,Contract,52440,8,6
Cash,Offerings,92826,8,6
Cash,Offerings,142339,3,9
GPay,Offerings,181164,4,6
GPay,Offerings,191273,3,8
COD,Offerings,176470,8,7
GPay,Offerings,119682,4,8
GPay,Offerings,119763,7,6
Cash,Contract,114366,5,7
Cash,Offerings,157521,5,8
GPay,NPL,155059,9,9
GPay,Contract,57828,7,8
Cash,Offerings,167181,8,9
GPay,Contract,139893,6,6
Cash,NPL,195979,6,7
GPay,NPL,187710,6,9
COD,Offerings,144219,4,8
GPay,Contract,81351,7,6
Cash,NPL,59075,4,9
GPay,Offerings,74404,6,9
COD,Offerings,180540,7,9
COD,Contract,173301,9,9
GPay,Offerings,57377,7,9
COD,Offerings,69914,4,6
Cash,Offerings,157511,3,7
COD,Contract,76913,9,8
GPay,Offerings,90057,7,7
COD,Offerings,178812,8,9
Cash,Offerings,153581,7,9
COD,Contract,75191,9,8
COD,Offerings,177493,10,6
Cash,Contract,143327,7,8
GPay,Offerings,124043,4,8
GPay,NPL,94154,4,9
Cash,Offerings,124163,7,8
GPay,Contract,58904,7,6
COD,Contract,167980,8,7
Cash,NPL,122283,5,6
GPay,Contract,119095,4,6
COD,NPL,117651,3,6
GPay,NPL,90234,7,7
GPay,NPL,150268,8,8
GPay,Offerings,172145,3,7
Cash,Offerings,149833,3,7
GPay,Offerings,155670,8,9
COD,NPL,167734,5,6
COD,NPL,167763,7,7
COD,Offerings,78205,4,6
GPay,Contract,123008,7,6
COD,Contract,133037,3,9
GPay,NPL,56952,4,7
Cash,Contract,120861,10,8
COD,NPL,198559,7,6
GPay,Contract,133905,9,7
COD,Offerings,186790,9,8
COD,Contract,158921,7,7
Cash,NPL,122017,8,6
GPay,Offerings,120677,5,9
GPay,NPL,188411,3,6
GPay,NPL,67257,3,6
COD,Offerings,55771,4,6
Cash,Contract,74987,10,6
Cash,Contract,118120,4,9
Cash,Offerings,121295,3,8
COD,Contract,159701,4,9
GPay,Contract,138827,7,6
GPay,Contract,74508,4,8
Cash,Offerings,82856,4,6
COD,Offerings,142572,10,8
GPay,Contract,89167,8,8
Cash,Contract,89287,8,9
GPay,NPL,197039,4,8
Cash,Contract,107220,10,7
COD,Contract,86743,8,8
COD,Contract,133452,8,8
GPay,NPL,82940,6,7
GPay,NPL,53021,10,6
COD,NPL,118893,10,6
COD,Offerings,163911,10,8
COD,NPL,128632,8,9
GPay,Offerings,95283,7,8
GPay,Contract,110564,9,7
COD,Contract,53736,10,6
COD,Offerings,104277,3,8
GPay,Offerings,78255,4,9
COD,NPL,184084,4,8
GPay,Contract,93416,8,6
Cash,Contract,70509,3,7
Cash,Contract,102508,4,6
GPay,Offerings,95492,5,8
COD,NPL,183043,9,6
COD,Offerings,136214,7,6
Cash,NPL,183000,9,9
COD,NPL,164477,3,8
Cash,NPL,149421,9,6
Cash,Offerings,155032,8,6
Cash,Offerings,180337,10,6
GPay,Offerings,66984,6,7
Cash,NPL,124765,3,9
GPay,Contract,100727,8,7
COD,Offerings,176495,3,9
Cash,Contract,167299,7,7
GPay,Contract,103471,7,6
Cash,Contract,111040,8,7
GPay,NPL,180089,5,6
Cash,NPL,190555,8,8
COD,NPL,56664,6,9
GPay,NPL,84271,6,7
COD,Offerings,172550,7,6
COD,Contract,92085,6,6
GPay,Contract,58223,9,9
Cash,Offerings,75162,5,8
Cash,Offerings,65188,6,6
GPay,Offerings,151483,9,7
GPay,NPL,185818,10,9
Cash,Contract,142197,6,9
COD,NPL,67878,3,7
GPay,Offerings,189672,9,8
GPay,NPL,87964,6,9
Cash,Offerings,88215,9,8
GPay,NPL,72021,10,8
GPay,NPL,152249,10,8
Cash,Offerings,134051,7,6
Cash,NPL,181091,6,8
COD,Contract,104236,7,6
GPay,Offerings,179621,5,6
COD,Contract,66514,7,8
GPay,Offerings,89687,5,8
GPay,Offerings,71239,4,7
COD,Contract,114559,10,6
GPay,Contract,170620,6,9
COD,Offerings,149195,4,6
GPay,Offerings,191697,9,8
COD,Offerings,113036,7,8
Cash,Contract,50675,8,7
Cash,Offerings,69403,10,8
COD,Offerings,108519,4,8
COD,NPL,102117,5,7
COD,Offerings,182502,7,6
Cash,NPL,169551,6,8
COD,NPL,195429,7,6
GPay,Contract,162688,6,9
COD,Offerings,164298,5,9
COD,Offerings,91495,7,8
Cash,NPL,85006,8,6
GPay,Offerings,186899,10,6
Cash,Contract,73780,7,8
Cash,Contract,121455,5,6
GPay,Offerings,138814,3,9
COD,Offerings,153177,4,8
GPay,NPL,90202,10,6
COD,Contract,195303,8,9
COD,NPL,119792,6,7
Cash,Offerings,182802,7,7
Cash,Offerings,153799,6,9
COD,Offerings,169726,3,8
GPay,Contract,152210,9,7
COD,Contract,70605,4,9
GPay,NPL,191268,8,7
COD,Contract,110574,4,6
COD,Contract,165676,7,8
COD,NPL,103587,5,6
GPay,Offerings,137785,3,7
GPay,NPL,143888,10,6
COD,Contract,71933,5,8
GPay,NPL,79061,8,9
Cash,Offerings,152721,5,7
Cash,Contract,93673,6,8
Cash,Contract,57525,8,8
COD,Contract,83648,8,7
GPay,Contract,168936,8,6
COD,Contract,161659,3,8
GPay,Offerings,90727,9,7
GPay,NPL,183681,3,9
COD,NPL,102730,7,9
GPay,NPL,59202,3,9
Cash,Contract,96959,9,8
Cash,NPL,174181,9,6
GPay,Offerings,79751,3,8
Cash,Contract,184381,3,8
COD,NPL,54886,8,7
GPay,NPL,60358,3,9
GPay,Offerings,172127,4,6
Cash,Contract,106388,5,7
Cash,Offerings,166272,3,6
COD,NPL,134367,7,6
GPay,Contract,157370,3,6
GPay,Contract,155316,8,9
GPay,Offerings,56289,4,6
COD,NPL,135290,3,6
COD,Contract,138350,10,6
COD,NPL,52556,7,7
Cash,Contract,80267,5,9
Cash,Offerings,68587,8,9
Cash,Offerings,82943,5,7
Cash,NPL,106335,8,8
GPay,Contract,168656,6,9
GPay,Contract,116746,7,6
COD,NPL,83178,7,6
Cash,NPL,80612,9,7
COD,Offerings,191517,9,8
GPay,Contract,85332,10,8
GPay,Offerings,132469,3,9
COD,Contract,198885,7,7
GPay,Offerings,164046,4,8
GPay,Offerings,56561,6,6
COD,NPL,118826,6,7
GPay,NPL,183303,10,7
GPay,Contract,125559,3,7
GPay,Offerings,177989,6,6
COD,NPL,104271,3,7
Cash,Contract,153078,4,8
Cash,Contract,186828,9,7
GPay,Offerings,124467,7,7
Cash,NPL,172310,3,6
COD,Offerings,93130,7,6
Cash,Contract,106986,8,6
Cash,Offerings,191869,9,7
GPay,NPL,151931,7,8
COD,NPL,149980,6,9
GPay,Offerings,165471,6,9
GPay,Offerings,126909,6,7
GPay,Contract,79128,5,6
COD,Offerings,72007,10,6
Cash,NPL,67680,3,8
Cash,Offerings,80016,3,8
Cash,NPL,183960,8,7
COD,Offerings,136831,8,6
COD,Contract,111968,10,7
COD,NPL,192606,4,7
GPay,NPL,142104,8,8
GPay,Contract,187244,4,9
GPay,Offerings,127821,4,8
COD,Offerings,149375,7,9
COD,Contract,86364,3,7
COD,NPL,176288,6,6
COD,NPL,196059,6,8
COD,NPL,92743,3,8
COD,Contract,98956,6,8
GPay,NPL,62742,7,9
Cash,Contract,137207,6,9
GPay,NPL,119425,10,6
Cash,NPL,133125,3,6
Cash,Contract,115997,9,6
Cash,NPL,56010,4,8
Cash,NPL,106267,10,6
COD,NPL,173689,9,7
COD,Offerings,137292,8,9
GPay,Offerings,120225,6,8
GPay,NPL,103360,10,8
Cash,NPL,169196,6,6
Cash,NPL,77709,6,6
COD,Offerings,88137,10,8
COD,Offerings,94380,6,8
GPay,Offerings,109315,5,7
Cash,Contract,105502,5,7
GPay,Contract,197404,9,6
COD,Offerings,97774,8,7
Cash,Offerings,136289,3,7
Cash,NPL,113461,4,9
COD,Contract,179164,6,8
GPay,Offerings,152302,3,7
GPay,Contract,188096,10,7
COD,Offerings,101110,5,8
GPay,Offerings,147355,7,6
COD,Offerings,55777,5,6
COD,NPL,54620,5,6
COD,NPL,99705,5,9
Cash,Offerings,110131,5,8
COD,NPL,123371,4,7
Cash,NPL,57205,6,6
COD,NPL,92394,4,8
COD,Contract,56093,3,6
Cash,Offerings,65779,10,8
GPay,NPL,162837,10,7
GPay,Contract,106606,8,9
COD,Contract,149960,6,9
COD,Contract,55804,9,6
Cash,Contract,96361,7,8
GPay,Contract,165598,5,7
COD,NPL,172972,5,6
Cash,NPL,110497,8,9
GPay,NPL,66705,8,8
COD,NPL,67693,3,6
Cash,NPL,94211,4,9
GPay,NPL,160920,9,9
COD,NPL,60334,3,8
COD,NPL,125451,4,9
COD,NPL,152632,6,6
Cash,Offerings,56216,5,8
Cash,Offerings,172701,8,7
GPay,NPL,76487,6,9
GPay,Contract,68309,8,8
GPay,Contract,155932,9,7
COD,NPL,182178,4,7
GPay,NPL,137783,5,9
Cash,Offerings,165980,9,8
Cash,NPL,81365,7,7
GPay,Contract,145136,6,8
Cash,Contract,105429,7,7
GPay,NPL,156892,8,8
Cash,Offerings,52485,7,6
GPay,NPL,62348,8,8
Cash,NPL,68749,3,6
GPay,NPL,160247,4,9
GPay,Contract,195687,3,7
GPay,Contract,171961,10,8
GPay,NPL,64600,7,7
Cash,NPL,185872,10,9
Cash,Contract,63075,8,7
COD,Offerings,143574,3,8
Cash,Contract,98901,10,8
COD,Contract,189257,10,7
COD,Contract,75021,6,8
GPay,Offerings,186893,6,8
GPay,NPL,166302,3,9
GPay,NPL,154307,6,8
GPay,Contract,121220,9,8
GPay,NPL,183017,8,6
Cash,Contract,171303,5,6
Cash,NPL,130098,4,8
GPay,Offerings,196909,10,8
COD,Contract,112526,6,7
COD,NPL,146152,7,8
Cash,NPL,199907,5,6
Cash,Offerings,79432,5,7
GPay,Contract,166472,9,7
COD,Contract,93424,6,8
Cash,NPL,147960,6,8
Cash,NPL,57576,7,6
COD,NPL,84087,6,8
GPay,NPL,199927,6,9
GPay,Contract,115653,6,6
GPay,NPL,117229,9,7
GPay,Offerings,79817,10,9
GPay,Contract,102739,8,8
COD,NPL,115340,10,7
GPay,Offerings,96247,5,6
GPay,NPL,115195,8,9
COD,NPL,152306,5,7
Cash,Offerings,171260,7,7
COD,Offerings,106519,8,9
Cash,Contract,167603,6,9
Cash,NPL,118277,10,8
GPay,Offerings,90878,10,8
COD,Contract,93965,8,7
GPay,Contract,119764,8,9
GPay,Offerings,124667,10,9
COD,Contract,153598,9,6
GPay,NPL,68306,8,8
COD,NPL,136242,4,7
GPay,Offerings,162771,7,6
Cash,NPL,180307,8,6
COD,Offerings,110596,8,9
GPay,Offerings,93499,9,9
COD,Offerings,175347,9,7
GPay,Offerings,199135,9,7
Cash,NPL,88817,10,7
COD,NPL,135940,5,6
COD,NPL,167410,9,6
Cash,NPL,58659,4,6
COD,NPL,185029,5,8
COD,Contract,71285,10,8
GPay,Offerings,71525,9,9
COD,Offerings,124167,10,9
Cash,Offerings,191469,7,8
GPay,Offerings,187084,10,8
Cash,Offerings,83157,9,8
GPay,Offerings,130139,4,7
GPay,Offerings,176331,3,8
GPay,Offerings,59635,5,7
COD,NPL,103482,8,7
Cash,Contract,80928,6,7
GPay,Offerings,57249,7,7
GPay,NPL,83101,6,8
COD,Offerings,64578,10,7
COD,NPL,163465,6,7
COD,Contract,134394,4,8
COD,Offerings,102525,8,7
Cash,Offerings,51671,9,9
GPay,Contract,87475,3,6
Cash,Contract,66429,10,7
COD,Offerings,172950,9,7
COD,NPL,162991,10,6
COD,Contract,56769,5,8
COD,Contract,98366,9,7
GPay,Offerings,89655,3,7
GPay,Contract,190262,6,6
COD,Offerings,151693,9,6
COD,NPL,135373,5,6
Cash,NPL,94507,10,8
GPay,Offerings,97458,3,6
COD,Offerings,154415,10,6
GPay,Offerings,68268,10,6
Cash,Offerings,81927,9,7
COD,Offerings,164094,4,9
GPay,NPL,146740,5,6
COD,Contract,135648,4,6
GPay,Contract,155969,4,8
