Class_of_Outlet,Type_of_Outlet,Outlet_ID
M,DE,CD01341
H,HA,CD01342
H,RE,CD01343
H,RE,CD01344
SH,RE,CD01345
M,DE,CD01346
VL,DE,CD01347
M,DE,CD01348
VL,RE,CD01349
VL,RE,CD01350
SH,HA,CD01351
VL,HA,CD01352
SH,DE,CD01353
L,RE,CD01354
SH,HA,CD01355
VL,DE,CD01356
SH,RE,CD01357
L,RE,CD01358
SH,DE,CD01359
VL,RE,CD01360
VL,RE,CD01361
M,DE,CD01362
H,RE,CD01363
VL,DE,CD01364
M,RE,CD01365
M,HA,CD01366
H,HA,CD01367
H,HA,CD01368
L,HA,CD01369
SH,HA,CD01370
SH,DE,CD01371
L,DE,CD01372
M,HA,CD01373
M,HA,CD01374
VL,DE,CD01375
M,RE,CD01376
M,DE,CD01377
VL,RE,CD01378
SH,DE,CD01379
H,RE,CD01380
M,HA,CD01381
VL,RE,CD01382
SH,DE,CD01383
SH,DE,CD01384
H,DE,CD01385
VL,RE,CD01386
SH,DE,CD01387
VL,RE,CD01388
M,HA,CD01389
H,RE,CD01390
VL,HA,CD01391
L,HA,CD01392
H,RE,CD01393
M,RE,CD01394
M,DE,CD01395
SH,HA,CD01396
L,HA,CD01397
VL,HA,CD01398
M,RE,CD01399
SH,RE,CD01400
SH,HA,CD01401
VL,DE,CD01402
SH,DE,CD01403
M,RE,CD01404
M,RE,CD01405
SH,HA,CD01406
VL,HA,CD01407
H,RE,CD01408
H,DE,CD01409
SH,HA,CD01410
H,HA,CD01411
H,RE,CD01412
H,DE,CD01413
H,HA,CD01414
SH,HA,CD01415
SH,HA,CD01416
L,HA,CD01417
L,RE,CD01418
L,HA,CD01419
SH,DE,CD01420
H,DE,CD01421
SH,RE,CD01422
M,HA,CD01423
SH,HA,CD01424
H,DE,CD01425
L,RE,CD01426
L,DE,CD01427
VL,HA,CD01428
L,HA,CD01429
SH,RE,CD01430
H,DE,CD01431
SH,RE,CD01432
M,RE,CD01433
SH,RE,CD01434
VL,RE,CD01435
VL,DE,CD01436
VL,DE,CD01437
SH,RE,CD01438
M,RE,CD01439
SH,HA,CD01440
SH,RE,CD01441
H,RE,CD01442
SH,RE,CD01443
M,RE,CD01444
M,DE,CD01445
VL,HA,CD01446
SH,RE,CD01447
VL,DE,CD01448
M,RE,CD01449
SH,RE,CD01450
VL,RE,CD01451
SH,DE,CD01452
L,HA,CD01453
VL,RE,CD01454
SH,RE,CD01455
M,RE,CD01456
H,RE,CD01457
M,HA,CD01458
H,DE,CD01459
L,HA,CD01460
M,RE,CD01461
L,RE,CD01462
H,RE,CD01463
SH,HA,CD01464
SH,RE,CD01465
VL,RE,CD01466
L,RE,CD01467
VL,HA,CD01468
VL,RE,CD01469
SH,DE,CD01470
VL,DE,CD01471
SH,HA,CD01472
VL,RE,CD01473
L,DE,CD01474
H,HA,CD01475
M,HA,CD01476
L,HA,CD01477
H,RE,CD01478
M,HA,CD01479
H,DE,CD01480
L,HA,CD01481
H,HA,CD01482
VL,HA,CD01483
M,DE,CD01484
H,HA,CD01485
SH,DE,CD01486
VL,RE,CD01487
M,DE,CD01488
SH,RE,CD01489
VL,RE,CD01490
L,HA,CD01491
M,HA,CD01492
M,RE,CD01493
M,DE,CD01494
SH,DE,CD01495
SH,DE,CD01496
L,HA,CD01497
M,HA,CD01498
L,HA,CD01499
VL,DE,CD01500
M,DE,CD01501
VL,RE,CD01502
VL,DE,CD01503
VL,HA,CD01504
H,RE,CD01505
H,DE,CD01506
H,DE,CD01507
M,RE,CD01508
M,HA,CD01509
M,DE,CD01510
L,DE,CD01511
SH,DE,CD01512
M,DE,CD01513
L,HA,CD01514
L,DE,CD01515
SH,RE,CD01516
L,RE,CD01517
VL,HA,CD01518
VL,DE,CD01519
SH,DE,CD01520
SH,DE,CD01521
M,HA,CD01522
L,DE,CD01523
H,RE,CD01524
SH,HA,CD01525
L,HA,CD01526
L,HA,CD01527
VL,HA,CD01528
H,DE,CD01529
M,HA,CD01530
M,HA,CD01531
M,DE,CD01532
H,RE,CD01533
M,RE,CD01534
H,HA,CD01535
H,DE,CD01536
SH,RE,CD01537
SH,DE,CD01538
SH,HA,CD01539
SH,RE,CD01540
H,RE,CD01541
H,RE,CD01542
L,HA,CD01543
M,DE,CD01544
H,DE,CD01545
H,HA,CD01546
M,HA,CD01547
M,HA,CD01548
H,RE,CD01549
L,RE,CD01550
H,DE,CD01551
M,HA,CD01552
H,RE,CD01553
M,RE,CD01554
H,RE,CD01555
H,DE,CD01556
VL,RE,CD01557
SH,DE,CD01558
SH,DE,CD01559
SH,HA,CD01560
L,DE,CD01561
L,HA,CD01562
SH,HA,CD01563
L,DE,CD01564
L,RE,CD01565
VL,RE,CD01566
SH,HA,CD01567
M,HA,CD01568
VL,DE,CD01569
L,RE,CD01570
SH,DE,CD01571
H,RE,CD01572
M,DE,CD01573
M,HA,CD01574
VL,DE,CD01575
SH,DE,CD01576
M,HA,CD01577
L,DE,CD01578
M,RE,CD01579
M,RE,CD01580
L,RE,CD01581
H,HA,CD01582
VL,HA,CD01583
H,DE,CD01584
M,DE,CD01585
M,HA,CD01586
SH,HA,CD01587
M,RE,CD01588
SH,DE,CD01589
L,DE,CD01590
M,HA,CD01591
M,HA,CD01592
L,DE,CD01593
L,RE,CD01594
H,HA,CD01595
M,DE,CD01596
M,RE,CD01597
L,DE,CD01598
M,RE,CD01599
SH,RE,CD01600
H,HA,CD01601
M,HA,CD01602
L,DE,CD01603
SH,HA,CD01604
L,RE,CD01605
SH,RE,CD01606
M,HA,CD01607
H,RE,CD01608
VL,RE,CD01609
L,HA,CD01610
H,RE,CD01611
VL,DE,CD01612
L,DE,CD01613
VL,HA,CD01614
VL,HA,CD01615
SH,DE,CD01616
SH,RE,CD01617
H,RE,CD01618
L,RE,CD01619
SH,RE,CD01620
L,HA,CD01621
L,HA,CD01622
VL,HA,CD01623
M,DE,CD01624
SH,DE,CD01625
H,HA,CD01626
VL,RE,CD01627
M,RE,CD01628
VL,DE,CD01629
M,RE,CD01630
L,HA,CD01631
L,RE,CD01632
L,RE,CD01633
L,DE,CD01634
L,HA,CD01635
VL,HA,CD01636
H,DE,CD01637
H,HA,CD01638
SH,RE,CD01639
M,RE,CD01640
SH,RE,CD01641
M,RE,CD01642
SH,RE,CD01643
L,DE,CD01644
SH,RE,CD01645
H,RE,CD01646
M,RE,CD01647
M,RE,CD01648
M,RE,CD01649
L,HA,CD01650
H,HA,CD01651
M,DE,CD01652
SH,HA,CD01653
VL,RE,CD01654
M,HA,CD01655
SH,DE,CD01656
H,RE,CD01657
SH,RE,CD01658
L,RE,CD01659
SH,RE,CD01660
M,HA,CD01661
L,DE,CD01662
H,HA,CD01663
M,RE,CD01664
SH,DE,CD01665
SH,RE,CD01666
SH,HA,CD01667
H,HA,CD01668
M,HA,CD01669
L,HA,CD01670
L,DE,CD01671
VL,RE,CD01672
L,RE,CD01673
SH,RE,CD01674
VL,DE,CD01675
L,HA,CD01676
M,HA,CD01677
VL,RE,CD01678
VL,DE,CD01679
VL,RE,CD01680
L,HA,CD01681
H,DE,CD01682
M,HA,CD01683
VL,DE,CD01684
H,DE,CD01685
H,RE,CD01686
H,RE,CD01687
L,HA,CD01688
L,HA,CD01689
SH,DE,CD01690
H,RE,CD01691
M,HA,CD01692
M,HA,CD01693
VL,HA,CD01694
M,RE,CD01695
VL,RE,CD01696
SH,HA,CD01697
VL,DE,CD01698
L,RE,CD01699
VL,DE,CD01700
VL,HA,CD01701
H,DE,CD01702
SH,DE,CD01703
M,DE,CD01704
L,DE,CD01705
H,DE,CD01706
L,DE,CD01707
H,HA,CD01708
M,RE,CD01709
SH,HA,CD01710
H,DE,CD01711
SH,DE,CD01712
L,RE,CD01713
M,HA,CD01714
H,HA,CD01715
L,RE,CD01716
M,RE,CD01717
SH,HA,CD01718
SH,HA,CD01719
L,DE,CD01720
H,RE,CD01721
SH,HA,CD01722
M,HA,CD01723
VL,RE,CD01724
H,DE,CD01725
SH,DE,CD01726
M,HA,CD01727
SH,RE,CD01728
SH,DE,CD01729
SH,RE,CD01730
H,DE,CD01731
VL,HA,CD01732
SH,RE,CD01733
L,HA,CD01734
H,HA,CD01735
VL,HA,CD01736
SH,HA,CD01737
L,DE,CD01738
H,DE,CD01739
H,DE,CD01740
L,HA,CD01741
H,DE,CD01742
H,HA,CD01743
VL,HA,CD01744
SH,HA,CD01745
L,HA,CD01746
M,DE,CD01747
VL,HA,CD01748
M,HA,CD01749
SH,RE,CD01750
M,HA,CD01751
VL,HA,CD01752
L,HA,CD01753
M,RE,CD01754
SH,HA,CD01755
L,RE,CD01756
M,DE,CD01757
M,DE,CD01758
H,RE,CD01759
M,RE,CD01760
M,HA,CD01761
H,RE,CD01762
H,RE,CD01763
L,DE,CD01764
SH,DE,CD01765
M,RE,CD01766
SH,HA,CD01767
H,DE,CD01768
H,RE,CD01769
H,RE,CD01770
H,HA,CD01771
SH,HA,CD01772
M,RE,CD01773
SH,HA,CD01774
M,HA,CD01775
SH,HA,CD01776
H,RE,CD01777
L,HA,CD01778
H,RE,CD01779
VL,DE,CD01780
H,DE,CD01781
M,HA,CD01782
H,RE,CD01783
H,DE,CD01784
VL,RE,CD01785
H,HA,CD01786
VL,HA,CD01787
SH,RE,CD01788
VL,HA,CD01789
L,RE,CD01790
H,DE,CD01791
H,RE,CD01792
M,HA,CD01793
SH,HA,CD01794
VL,HA,CD01795
SH,DE,CD01796
H,RE,CD01797
M,HA,CD01798
SH,RE,CD01799
L,RE,CD01800
H,DE,CD01801
H,DE,CD01802
SH,HA,CD01803
L,HA,CD01804
L,HA,CD01805
H,DE,CD01806
SH,RE,CD01807
H,DE,CD01808
VL,HA,CD01809
SH,HA,CD01810
M,RE,CD01811
H,RE,CD01812
H,RE,CD01813
VL,HA,CD01814
H,RE,CD01815
M,RE,CD01816
VL,DE,CD01817
M,RE,CD01818
SH,RE,CD01819
L,RE,CD01820
VL,HA,CD01821
VL,HA,CD01822
SH,DE,CD01823
H,HA,CD01824
L,RE,CD01825
M,RE,CD01826
H,RE,CD01827
VL,DE,CD01828
VL,RE,CD01829
M,RE,CD01830
H,HA,CD01831
M,RE,CD01832
M,RE,CD01833
H,HA,CD01834
L,DE,CD01835
SH,DE,CD01836
VL,RE,CD01837
M,DE,CD01838
H,RE,CD01839
L,HA,CD01840
M,DE,CD01841
L,RE,CD01842
L,HA,CD01843
L,RE,CD01844
VL,DE,CD01845
VL,RE,CD01846
H,DE,CD01847
L,RE,CD01848
M,HA,CD01849
VL,HA,CD01850
M,RE,CD01851
L,HA,CD01852
M,DE,CD01853
H,HA,CD01854
H,HA,CD01855
VL,HA,CD01856
VL,HA,CD01857
M,RE,CD01858
L,HA,CD01859
H,HA,CD01860
VL,DE,CD01861
M,HA,CD01862
L,DE,CD01863
M,RE,CD01864
M,DE,CD01865
L,DE,CD01866
L,HA,CD01867
VL,HA,CD01868
M,RE,CD01869
L,DE,CD01870
H,HA,CD01871
L,DE,CD01872
H,HA,CD01873
H,DE,CD01874
SH,RE,CD01875
SH,RE,CD01876
M,HA,CD01877
SH,HA,CD01878
VL,RE,CD01879
M,DE,CD01880
VL,RE,CD01881
M,DE,CD01882
L,DE,CD01883
L,DE,CD01884
H,RE,CD01885
M,DE,CD01886
H,DE,CD01887
H,RE,CD01888
SH,DE,CD01889
SH,RE,CD01890
H,RE,CD01891
VL,DE,CD01892
M,HA,CD01893
SH,DE,CD01894
L,HA,CD01895
VL,DE,CD01896
VL,DE,CD01897
L,HA,CD01898
M,DE,CD01899
VL,DE,CD01900
H,HA,CD01901
H,DE,CD01902
VL,DE,CD01903
H,DE,CD01904
VL,DE,CD01905
VL,RE,CD01906
H,RE,CD01907
VL,RE,CD01908
H,HA,CD01909
VL,HA,CD01910
H,RE,CD01911
L,RE,CD01912
SH,DE,CD01913
L,HA,CD01914
H,HA,CD01915
VL,DE,CD01916
H,RE,CD01917
L,RE,CD01918
L,RE,CD01919
L,RE,CD01920
L,HA,CD01921
VL,DE,CD01922
H,HA,CD01923
M,HA,CD01924
L,RE,CD01925
M,HA,CD01926
M,HA,CD01927
M,DE,CD01928
L,RE,CD01929
VL,DE,CD01930
M,RE,CD01931
M,HA,CD01932
M,HA,CD01933
SH,RE,CD01934
H,RE,CD01935
L,RE,CD01936
VL,HA,CD01937
L,DE,CD01938
SH,RE,CD01939
H,DE,CD01940
VL,RE,CD01941
M,DE,CD01942
VL,DE,CD01943
VL,HA,CD01944
L,DE,CD01945
L,HA,CD01946
H,DE,CD01947
M,RE,CD01948
M,DE,CD01949
L,RE,CD01950
VL,RE,CD01951
SH,HA,CD01952
SH,DE,CD01953
VL,RE,CD01954
M,HA,CD01955
H,HA,CD01956
VL,HA,CD01957
M,DE,CD01958
M,HA,CD01959
L,HA,CD01960
SH,DE,CD01961
SH,RE,CD01962
SH,DE,CD01963
VL,RE,CD01964
L,HA,CD01965
SH,DE,CD01966
SH,RE,CD01967
H,DE,CD01968
L,HA,CD01969
M,DE,CD01970
M,DE,CD01971
VL,HA,CD01972
H,RE,CD01973
M,DE,CD01974
L,HA,CD01975
M,DE,CD01976
SH,DE,CD01977
M,HA,CD01978
VL,RE,CD01979
SH,DE,CD01980
H,HA,CD01981
VL,RE,CD01982
L,RE,CD01983
VL,DE,CD01984
SH,HA,CD01985
SH,RE,CD01986
H,HA,CD01987
M,RE,CD01988
M,RE,CD01989
SH,DE,CD01990
M,HA,CD01991
M,HA,CD01992
L,HA,CD01993
H,RE,CD01994
L,DE,CD01995
H,DE,CD01996
VL,RE,CD01997
M,DE,CD01998
M,DE,CD01999
M,RE,CD02000
VL,DE,CD02001
L,HA,CD02002
SH,HA,CD02003
SH,RE,CD02004
H,RE,CD02005
H,HA,CD02006
VL,RE,CD02007
SH,RE,CD02008
VL,HA,CD02009
SH,HA,CD02010
SH,HA,CD02011
H,RE,CD02012
SH,HA,CD02013
L,DE,CD02014
VL,HA,CD02015
H,RE,CD02016
SH,HA,CD02017
VL,DE,CD02018
L,HA,CD02019
M,RE,CD02020
L,RE,CD02021
VL,DE,CD02022
VL,RE,CD02023
SH,RE,CD02024
H,DE,CD02025
L,DE,CD02026
L,RE,CD02027
VL,DE,CD02028
M,HA,CD02029
VL,DE,CD02030
M,RE,CD02031
H,DE,CD02032
H,DE,CD02033
SH,HA,CD02034
M,RE,CD02035
H,DE,CD02036
SH,RE,CD02037
VL,RE,CD02038
M,DE,CD02039
M,DE,CD02040
H,RE,CD02041
H,DE,CD02042
M,RE,CD02043
L,RE,CD02044
M,DE,CD02045
VL,HA,CD02046
M,RE,CD02047
SH,DE,CD02048
SH,HA,CD02049
M,RE,CD02050
H,RE,CD02051
H,HA,CD02052
SH,DE,CD02053
L,RE,CD02054
VL,DE,CD02055
M,DE,CD02056
L,RE,CD02057
L,RE,CD02058
H,DE,CD02059
L,RE,CD02060
L,HA,CD02061
H,RE,CD02062
SH,RE,CD02063
SH,DE,CD02064
SH,RE,CD02065
SH,HA,CD02066
L,HA,CD02067
SH,RE,CD02068
M,DE,CD02069
L,HA,CD02070
SH,HA,CD02071
VL,DE,CD02072
SH,RE,CD02073
VL,DE,CD02074
H,RE,CD02075
M,HA,CD02076
VL,DE,CD02077
VL,HA,CD02078
H,RE,CD02079
H,HA,CD02080
SH,DE,CD02081
M,DE,CD02082
M,DE,CD02083
VL,DE,CD02084
L,HA,CD02085
H,RE,CD02086
M,DE,CD02087
SH,HA,CD02088
H,RE,CD02089
VL,RE,CD02090
VL,RE,CD02091
SH,HA,CD02092
L,HA,CD02093
VL,RE,CD02094
L,DE,CD02095
L,DE,CD02096
SH,DE,CD02097
L,HA,CD02098
M,HA,CD02099
M,HA,CD02100
H,DE,CD02101
SH,DE,CD02102
SH,HA,CD02103
SH,HA,CD02104
H,RE,CD02105
VL,RE,CD02106
VL,HA,CD02107
SH,HA,CD02108
SH,HA,CD02109
SH,HA,CD02110
M,HA,CD02111
H,RE,CD02112
H,HA,CD02113
L,HA,CD02114
H,DE,CD02115
M,DE,CD02116
L,RE,CD02117
SH,DE,CD02118
SH,HA,CD02119
L,RE,CD02120
H,RE,CD02121
M,HA,CD02122
L,HA,CD02123
L,DE,CD02124
VL,DE,CD02125
VL,DE,CD02126
L,RE,CD02127
L,RE,CD02128
VL,DE,CD02129
L,HA,CD02130
L,HA,CD02131
M,HA,CD02132
H,DE,CD02133
L,DE,CD02134
M,RE,CD02135
M,DE,CD02136
H,HA,CD02137
H,DE,CD02138
L,RE,CD02139
M,HA,CD02140
H,RE,CD02141
M,RE,CD02142
M,DE,CD02143
VL,RE,CD02144
H,DE,CD02145
H,HA,CD02146
M,RE,CD02147
H,HA,CD02148
H,RE,CD02149
VL,DE,CD02150
L,RE,CD02151
H,DE,CD02152
H,DE,CD02153
SH,DE,CD02154
M,HA,CD02155
H,DE,CD02156
SH,DE,CD02157
VL,DE,CD02158
M,DE,CD02159
L,RE,CD02160
H,HA,CD02161
VL,RE,CD02162
VL,HA,CD02163
L,HA,CD02164
L,HA,CD02165
H,RE,CD02166
H,DE,CD02167
L,HA,CD02168
VL,DE,CD02169
H,RE,CD02170
SH,DE,CD02171
VL,RE,CD02172
SH,DE,CD02173
SH,HA,CD02174
VL,DE,CD02175
SH,RE,CD02176
SH,DE,CD02177
H,HA,CD02178
SH,DE,CD02179
VL,DE,CD02180
SH,RE,CD02181
M,RE,CD02182
SH,RE,CD02183
L,RE,CD02184
SH,RE,CD02185
H,HA,CD02186
SH,RE,CD02187
SH,RE,CD02188
H,HA,CD02189
H,RE,CD02190
SH,RE,CD02191
H,RE,CD02192
VL,DE,CD02193
H,DE,CD02194
M,DE,CD02195
SH,HA,CD02196
M,DE,CD02197
VL,DE,CD02198
H,RE,CD02199
L,DE,CD02200
SH,HA,CD02201
SH,RE,CD02202
SH,HA,CD02203
VL,RE,CD02204
VL,DE,CD02205
L,HA,CD02206
VL,RE,CD02207
L,RE,CD02208
L,DE,CD02209
VL,DE,CD02210
L,HA,CD02211
SH,RE,CD02212
SH,HA,CD02213
L,RE,CD02214
M,HA,CD02215
L,HA,CD02216
L,DE,CD02217
H,DE,CD02218
M,HA,CD02219
H,RE,CD02220
M,HA,CD02221
SH,RE,CD02222
H,HA,CD02223
H,RE,CD02224
VL,HA,CD02225
VL,HA,CD02226
SH,DE,CD02227
M,HA,CD02228
L,RE,CD02229
SH,DE,CD02230
SH,DE,CD02231
H,DE,CD02232
SH,DE,CD02233
L,RE,CD02234
SH,RE,CD02235
VL,HA,CD02236
M,HA,CD02237
M,DE,CD02238
VL,RE,CD02239
H,DE,CD02240
M,DE,CD02241
VL,RE,CD02242
H,RE,CD02243
H,DE,CD02244
M,HA,CD02245
M,DE,CD02246
L,RE,CD02247
L,DE,CD02248
SH,RE,CD02249
SH,HA,CD02250
H,RE,CD02251
VL,HA,CD02252
SH,RE,CD02253
L,DE,CD02254
M,RE,CD02255
L,DE,CD02256
H,HA,CD02257
H,RE,CD02258
M,DE,CD02259
H,DE,CD02260
VL,HA,CD02261
SH,RE,CD02262
VL,HA,CD02263
L,HA,CD02264
H,RE,CD02265
L,HA,CD02266
VL,HA,CD02267
L,RE,CD02268
H,RE,CD02269
VL,HA,CD02270
SH,RE,CD02271
M,HA,CD02272
VL,HA,CD02273
M,DE,CD02274
VL,DE,CD02275
H,DE,CD02276
SH,HA,CD02277
H,DE,CD02278
SH,RE,CD02279
H,HA,CD02280
VL,HA,CD02281
H,DE,CD02282
SH,DE,CD02283
SH,RE,CD02284
VL,HA,CD02285
H,DE,CD02286
H,DE,CD02287
VL,RE,CD02288
VL,DE,CD02289
M,DE,CD02290
M,RE,CD02291
M,HA,CD02292
SH,HA,CD02293
VL,DE,CD02294
M,DE,CD02295
VL,HA,CD02296
M,DE,CD02297
VL,HA,CD02298
M,RE,CD02299
M,DE,CD02300
SH,DE,CD02301
SH,HA,CD02302
VL,HA,CD02303
VL,DE,CD02304
L,DE,CD02305
SH,DE,CD02306
VL,DE,CD02307
M,HA,CD02308
H,DE,CD02309
VL,DE,CD02310
M,HA,CD02311
VL,DE,CD02312
M,DE,CD02313
M,HA,CD02314
SH,HA,CD02315
L,RE,CD02316
H,DE,CD02317
L,HA,CD02318
SH,DE,CD02319
SH,RE,CD02320
SH,RE,CD02321
M,RE,CD02322
SH,HA,CD02323
VL,RE,CD02324
M,RE,CD02325
M,RE,CD02326
L,RE,CD02327
L,RE,CD02328
M,HA,CD02329
VL,RE,CD02330
VL,DE,CD02331
M,HA,CD02332
VL,HA,CD02333
VL,DE,CD02334
H,DE,CD02335
M,HA,CD02336
SH,DE,CD02337
SH,DE,CD02338
H,HA,CD02339
SH,RE,CD02340
M,DE,CD02341
L,DE,CD02342
H,DE,CD02343
M,HA,CD02344
M,HA,CD02345
SH,RE,CD02346
VL,DE,CD02347
M,DE,CD02348
M,RE,CD02349
L,RE,CD02350
H,DE,CD02351
VL,RE,CD02352
SH,HA,CD02353
VL,RE,CD02354
L,DE,CD02355
L,RE,CD02356
SH,RE,CD02357
M,HA,CD02358
H,RE,CD02359
L,DE,CD02360
M,RE,CD02361
SH,HA,CD02362
L,HA,CD02363
VL,RE,CD02364
VL,DE,CD02365
SH,RE,CD02366
M,DE,CD02367
SH,DE,CD02368
H,RE,CD02369
L,DE,CD02370
L,DE,CD02371
M,HA,CD02372
VL,RE,CD02373
M,RE,CD02374
M,RE,CD02375
SH,DE,CD02376
H,RE,CD02377
H,DE,CD02378
VL,DE,CD02379
H,DE,CD02380
H,DE,CD02381
M,HA,CD02382
VL,HA,CD02383
H,HA,CD02384
VL,RE,CD02385
M,DE,CD02386
H,DE,CD02387
M,DE,CD02388
SH,RE,CD02389
L,DE,CD02390
M,RE,CD02391
VL,DE,CD02392
VL,DE,CD02393
L,HA,CD02394
M,DE,CD02395
SH,RE,CD02396
VL,HA,CD02397
L,DE,CD02398
H,DE,CD02399
SH,DE,CD02400
M,HA,CD02401
SH,DE,CD02402
H,DE,CD02403
L,HA,CD02404
L,HA,CD02405
SH,HA,CD02406
H,HA,CD02407
VL,DE,CD02408
L,RE,CD02409
H,RE,CD02410
VL,DE,CD02411
M,HA,CD02412
SH,HA,CD02413
SH,DE,CD02414
L,RE,CD02415
M,HA,CD02416
L,HA,CD02417
VL,DE,CD02418
VL,DE,CD02419
H,HA,CD02420
H,HA,CD02421
M,HA,CD02422
L,DE,CD02423
H,DE,CD02424
H,RE,CD02425
H,HA,CD02426
SH,DE,CD02427
M,RE,CD02428
SH,DE,CD02429
VL,HA,CD02430
SH,HA,CD02431
VL,RE,CD02432
SH,RE,CD02433
L,RE,CD02434
VL,HA,CD02435
SH,DE,CD02436
H,DE,CD02437
H,DE,CD02438
VL,RE,CD02439
M,RE,CD02440
SH,HA,CD02441
H,RE,CD02442
H,DE,CD02443
L,DE,CD02444
SH,HA,CD02445
VL,HA,CD02446
M,HA,CD02447
L,RE,CD02448
SH,HA,CD02449
SH,HA,CD02450
H,HA,CD02451
SH,RE,CD02452
VL,RE,CD02453
L,DE,CD02454
SH,RE,CD02455
SH,RE,CD02456
H,DE,CD02457
VL,RE,CD02458
H,HA,CD02459
H,DE,CD02460
SH,HA,CD02461
VL,HA,CD02462
L,HA,CD02463
VL,DE,CD02464
VL,DE,CD02465
L,DE,CD02466
VL,HA,CD02467
M,RE,CD02468
H,HA,CD02469
M,HA,CD02470
M,HA,CD02471
H,HA,CD02472
H,DE,CD02473
H,DE,CD02474
VL,HA,CD02475
H,RE,CD02476
M,DE,CD02477
M,RE,CD02478
VL,HA,CD02479
L,HA,CD02480
M,HA,CD02481
L,DE,CD02482
M,HA,CD02483
SH,DE,CD02484
H,RE,CD02485
H,DE,CD02486
L,HA,CD02487
M,DE,CD02488
VL,RE,CD02489
VL,HA,CD02490
L,DE,CD02491
SH,DE,CD02492
L,RE,CD02493
SH,DE,CD02494
VL,HA,CD02495
SH,DE,CD02496
L,HA,CD02497
M,RE,CD02498
L,HA,CD02499
L,DE,CD02500
H,RE,CD02501
L,RE,CD02502
H,HA,CD02503
VL,HA,CD02504
L,DE,CD02505
L,DE,CD02506
H,HA,CD02507
H,RE,CD02508
L,RE,CD02509
M,DE,CD02510
L,HA,CD02511
H,DE,CD02512
H,DE,CD02513
VL,DE,CD02514
M,RE,CD02515
M,HA,CD02516
VL,DE,CD02517
VL,HA,CD02518
SH,HA,CD02519
L,HA,CD02520
M,RE,CD02521
SH,DE,CD02522
L,HA,CD02523
M,HA,CD02524
VL,RE,CD02525
SH,RE,CD02526
SH,DE,CD02527
VL,RE,CD02528
SH,RE,CD02529
SH,HA,CD02530
H,DE,CD02531
H,RE,CD02532
L,DE,CD02533
L,RE,CD02534
VL,HA,CD02535
VL,RE,CD02536
H,HA,CD02537
L,RE,CD02538
L,HA,CD02539
M,RE,CD02540
L,DE,CD02541
M,DE,CD02542
SH,RE,CD02543
M,RE,CD02544
L,RE,CD02545
VL,HA,CD02546
VL,HA,CD02547
L,RE,CD02548
L,HA,CD02549
L,HA,CD02550
SH,RE,CD02551
M,DE,CD02552
H,DE,CD02553
SH,HA,CD02554
L,DE,CD02555
L,DE,CD02556
M,DE,CD02557
M,DE,CD02558
L,HA,CD02559
L,DE,CD02560
H,RE,CD02561
VL,RE,CD02562
H,HA,CD02563
M,RE,CD02564
SH,RE,CD02565
M,DE,CD02566
M,HA,CD02567
M,RE,CD02568
L,DE,CD02569
SH,HA,CD02570
VL,DE,CD02571
L,HA,CD02572
VL,HA,CD02573
H,HA,CD02574
L,HA,CD02575
L,HA,CD02576
H,HA,CD02577
VL,HA,CD02578
M,RE,CD02579
M,DE,CD02580
L,RE,CD02581
L,HA,CD02582
SH,DE,CD02583
L,HA,CD02584
M,RE,CD02585
VL,HA,CD02586
VL,HA,CD02587
L,HA,CD02588
L,DE,CD02589
H,DE,CD02590
SH,HA,CD02591
SH,RE,CD02592
M,DE,CD02593
H,RE,CD02594
M,RE,CD02595
L,HA,CD02596
VL,RE,CD02597
H,RE,CD02598
L,RE,CD02599
M,HA,CD02600
H,RE,CD02601
M,DE,CD02602
SH,HA,CD02603
VL,RE,CD02604
VL,RE,CD02605
SH,RE,CD02606
M,DE,CD02607
M,RE,CD02608
H,HA,CD02609
H,HA,CD02610
L,HA,CD02611
SH,DE,CD02612
L,RE,CD02613
M,HA,CD02614
H,RE,CD02615
H,HA,CD02616
H,RE,CD02617
SH,RE,CD02618
H,RE,CD02619
H,HA,CD02620
SH,DE,CD02621
VL,HA,CD02622
L,DE,CD02623
VL,DE,CD02624
M,RE,CD02625
VL,HA,CD02626
L,HA,CD02627
L,RE,CD02628
L,HA,CD02629
M,RE,CD02630
H,DE,CD02631
H,HA,CD02632
H,HA,CD02633
H,DE,CD02634
SH,DE,CD02635
L,DE,CD02636
VL,RE,CD02637
L,RE,CD02638
SH,RE,CD02639
L,DE,CD02640
VL,RE,CD02641
H,RE,CD02642
M,RE,CD02643
SH,DE,CD02644
H,HA,CD02645
L,HA,CD02646
L,HA,CD02647
H,DE,CD02648
M,DE,CD02649
H,DE,CD02650
M,HA,CD02651
VL,DE,CD02652
SH,RE,CD02653
M,DE,CD02654
M,RE,CD02655
SH,RE,CD02656
M,DE,CD02657
M,DE,CD02658
M,RE,CD02659
VL,RE,CD02660
M,DE,CD02661
H,HA,CD02662
M,RE,CD02663
L,HA,CD02664
M,RE,CD02665
VL,HA,CD02666
H,HA,CD02667
M,RE,CD02668
H,HA,CD02669
SH,DE,CD02670
L,RE,CD02671
SH,HA,CD02672
VL,DE,CD02673
M,DE,CD02674
VL,DE,CD02675
H,RE,CD02676
VL,RE,CD02677
H,DE,CD02678
L,DE,CD02679
M,HA,CD02680
M,DE,CD02681
SH,HA,CD02682
L,RE,CD02683
M,RE,CD02684
L,DE,CD02685
