Power Outage (min),Power Downtime (min),Temperature (C),Current Load (kW),Usage Stats,region_stats,date
36549,78,40,11,16,North,2023-07-21 00:00:00
39980,53,34,11,19,East,2023-04-02 00:00:00
39629,38,26,11,21,West,2020-03-15 00:00:00
41002,58,26,22,21,West,2023-07-01 00:00:00
34706,74,34,22,13,North,2024-11-05 00:00:00
25933,45,44,11,21,South,2021-04-04 00:00:00
43832,84,22,22,13,West,2024-01-31 00:00:00
42311,83,27,22,22,East,2023-09-03 00:00:00
22222,13,43,22,18,South,2022-05-02 00:00:00
39008,106,39,11,21,West,2022-06-15 00:00:00
34853,74,26,22,21,West,2022-01-29 00:00:00
27860,58,25,11,18,West,2020-07-18 00:00:00
42272,30,43,22,18,North,2023-05-10 00:00:00
24127,63,15,22,21,East,2020-07-01 00:00:00
41365,85,33,11,12,North,2021-12-05 00:00:00
41904,85,45,11,12,East,2023-02-16 00:00:00
35017,64,26,11,11,East,2022-01-27 00:00:00
19922,117,20,11,16,East,2022-09-24 00:00:00
18153,75,44,11,22,South,2024-10-20 00:00:00
32110,57,35,22,21,West,2023-04-25 00:00:00
37340,12,26,22,12,West,2023-10-28 00:00:00
40531,98,17,11,12,East,2020-01-11 00:00:00
34529,62,25,22,18,East,2020-03-02 00:00:00
29295,39,45,22,14,East,2021-06-04 00:00:00
20964,82,39,22,13,South,2020-04-05 00:00:00
23560,10,27,22,12,South,2021-04-26 00:00:00
44810,38,41,22,14,West,2024-12-13 00:00:00
15449,69,34,22,14,West,2022-10-06 00:00:00
29063,61,16,11,17,South,2020-12-31 00:00:00
26793,119,36,11,16,South,2021-11-23 00:00:00
29607,86,22,22,14,East,2021-07-02 00:00:00
25412,99,33,11,20,South,2021-09-24 00:00:00
43691,119,16,11,15,East,2024-11-13 00:00:00
32649,29,23,22,17,South,2022-09-27 00:00:00
23758,111,25,11,11,West,2021-02-06 00:00:00
35117,92,31,11,18,West,2024-02-09 00:00:00
21196,106,23,22,13,North,2022-08-16 00:00:00
40240,102,22,22,13,North,2022-09-06 00:00:00
25132,39,23,11,15,West,2020-04-20 00:00:00
28855,60,19,11,21,East,2020-11-15 00:00:00
29536,98,19,11,16,West,2022-04-22 00:00:00
24367,82,32,22,22,North,2023-05-22 00:00:00
25926,72,33,22,11,North,2021-01-25 00:00:00
42186,85,32,11,16,West,2020-12-23 00:00:00
40343,95,16,11,12,North,2024-03-01 00:00:00
31969,7,31,11,13,West,2023-08-01 00:00:00
39731,85,44,11,22,East,2021-06-21 00:00:00
41309,22,37,11,15,East,2024-04-08 00:00:00
19635,79,18,11,12,South,2022-10-23 00:00:00
41443,111,37,11,13,East,2022-08-18 00:00:00
29968,120,21,22,18,South,2024-10-21 00:00:00
17385,86,17,22,17,East,2020-01-27 00:00:00
42145,84,35,22,15,North,2020-03-04 00:00:00
17024,89,27,22,12,East,2024-03-28 00:00:00
36060,23,30,11,16,East,2023-06-26 00:00:00
29466,70,20,11,20,East,2023-07-21 00:00:00
43772,71,38,11,12,South,2020-06-28 00:00:00
43517,90,33,22,18,East,2022-11-17 00:00:00
21195,70,28,11,22,East,2020-01-03 00:00:00
15569,73,25,11,22,East,2024-01-19 00:00:00
34742,49,31,22,13,East,2021-02-24 00:00:00
31620,56,22,22,22,West,2023-12-26 00:00:00
40314,65,43,11,20,North,2022-10-20 00:00:00
18309,21,19,22,13,South,2022-02-20 00:00:00
39728,73,34,11,13,West,2024-06-11 00:00:00
15703,72,39,22,21,South,2023-07-10 00:00:00
43104,119,30,11,13,East,2024-04-30 00:00:00
43117,49,45,22,22,South,2022-05-19 00:00:00
20350,49,36,11,18,West,2020-07-29 00:00:00
27077,49,39,22,19,East,2024-11-03 00:00:00
24379,111,33,11,21,North,2023-11-08 00:00:00
34415,7,17,11,22,West,2024-06-03 00:00:00
20191,72,45,22,15,West,2024-05-16 00:00:00
21326,82,15,11,14,West,2024-01-26 00:00:00
16599,81,16,22,11,East,2022-02-18 00:00:00
25101,30,15,11,22,South,2021-10-09 00:00:00
18531,77,17,22,12,South,2022-03-23 00:00:00
30725,97,23,22,14,South,2020-12-29 00:00:00
20528,99,35,11,20,South,2020-08-10 00:00:00
20904,113,23,11,22,North,2023-01-08 00:00:00
38082,62,43,22,21,West,2024-07-27 00:00:00
23115,95,28,22,19,West,2021-07-12 00:00:00
30834,66,45,11,17,West,2021-12-20 00:00:00
17598,61,43,11,16,South,2021-08-30 00:00:00
21139,92,22,22,20,East,2021-07-23 00:00:00
32802,106,40,11,14,West,2024-02-24 00:00:00
15384,16,22,11,16,North,2024-07-25 00:00:00
41127,37,36,22,22,South,2023-10-11 00:00:00
29508,31,21,22,12,West,2024-07-09 00:00:00
34172,94,28,11,12,North,2021-05-05 00:00:00
22732,105,28,22,19,West,2020-04-21 00:00:00
41367,7,21,11,17,West,2023-12-16 00:00:00
31122,87,22,22,16,South,2020-01-22 00:00:00
37780,91,36,11,18,North,2023-10-08 00:00:00
35061,66,22,11,17,West,2022-11-13 00:00:00
15071,57,23,11,15,East,2022-02-15 00:00:00
28090,76,35,11,22,West,2021-12-23 00:00:00
16522,63,19,11,13,West,2020-09-07 00:00:00
21758,102,37,11,20,South,2020-11-21 00:00:00
44107,21,21,22,19,North,2020-12-16 00:00:00
15773,105,37,22,16,South,2022-04-12 00:00:00
18514,29,23,11,22,North,2023-04-28 00:00:00
16655,80,41,11,20,West,2023-08-01 00:00:00
18277,43,27,22,21,South,2020-02-27 00:00:00
42796,113,18,22,20,East,2024-05-16 00:00:00
42220,61,27,22,11,West,2022-05-03 00:00:00
27302,5,20,22,13,South,2024-04-29 00:00:00
18624,86,41,22,12,West,2022-10-28 00:00:00
17715,28,20,11,20,West,2021-09-28 00:00:00
21280,59,20,11,11,North,2024-01-18 00:00:00
37288,104,37,22,15,West,2024-04-07 00:00:00
19222,92,33,22,11,West,2022-10-14 00:00:00
37343,96,45,11,19,North,2020-09-19 00:00:00
37282,5,32,22,18,East,2023-02-09 00:00:00
24427,72,21,11,15,North,2020-02-22 00:00:00
25378,83,18,22,18,West,2020-09-06 00:00:00
29923,33,30,22,13,South,2024-02-28 00:00:00
21839,12,21,22,16,East,2023-09-25 00:00:00
20762,72,31,11,17,North,2022-07-01 00:00:00
21676,82,43,22,17,West,2023-09-04 00:00:00
42013,29,19,11,15,East,2023-08-30 00:00:00
38801,29,42,11,22,North,2021-01-12 00:00:00
42903,104,30,11,14,South,2023-04-17 00:00:00
41717,39,37,22,16,West,2023-09-24 00:00:00
18775,17,37,22,18,West,2022-10-12 00:00:00
36438,38,44,11,18,West,2024-09-03 00:00:00
40655,118,42,22,13,East,2022-01-18 00:00:00
30862,54,32,11,22,West,2023-12-09 00:00:00
25676,45,41,22,13,East,2021-02-27 00:00:00
24892,19,39,11,19,West,2024-05-01 00:00:00
30090,70,23,22,22,North,2022-05-29 00:00:00
32591,27,16,11,11,South,2024-07-28 00:00:00
24925,111,29,11,22,East,2021-03-17 00:00:00
29180,9,28,11,21,North,2022-05-03 00:00:00
30693,103,43,11,12,North,2023-10-13 00:00:00
42046,111,24,11,11,West,2021-08-13 00:00:00
22135,48,27,22,17,South,2023-01-28 00:00:00
23623,19,20,11,11,North,2020-06-03 00:00:00
40634,89,35,11,18,South,2023-02-23 00:00:00
20030,111,35,22,15,East,2022-01-12 00:00:00
31857,117,44,11,19,North,2022-10-17 00:00:00
36938,56,30,22,11,East,2021-12-29 00:00:00
43538,33,34,11,19,North,2020-11-05 00:00:00
40708,64,27,22,12,North,2021-03-28 00:00:00
20248,112,26,11,19,South,2021-08-02 00:00:00
38549,79,42,11,19,North,2024-12-04 00:00:00
21797,93,39,11,13,North,2022-12-27 00:00:00
25680,36,36,11,12,East,2020-03-03 00:00:00
25033,115,19,11,14,West,2022-10-05 00:00:00
44723,36,35,22,12,West,2024-06-30 00:00:00
16544,40,28,22,17,East,2020-09-29 00:00:00
22009,92,28,11,17,East,2023-08-08 00:00:00
33376,53,29,22,17,South,2021-11-19 00:00:00
26223,88,43,11,16,North,2024-08-25 00:00:00
24945,30,28,22,18,South,2024-01-03 00:00:00
27219,32,44,11,12,North,2021-03-25 00:00:00
38222,92,35,11,15,North,2020-06-06 00:00:00
43882,76,20,22,16,South,2022-05-22 00:00:00
38985,38,40,22,21,East,2022-12-26 00:00:00
23750,54,33,22,16,West,2024-06-14 00:00:00
20926,19,23,22,16,East,2022-01-06 00:00:00
40162,13,42,11,16,West,2022-06-13 00:00:00
39648,113,41,11,14,West,2023-08-12 00:00:00
34122,32,31,11,22,North,2024-05-11 00:00:00
38408,70,30,11,20,West,2024-09-25 00:00:00
21095,11,45,22,18,North,2020-11-05 00:00:00
42042,17,45,11,13,West,2022-01-12 00:00:00
33581,72,21,22,19,East,2022-06-25 00:00:00
16616,83,22,11,17,South,2021-06-21 00:00:00
19391,119,17,11,17,East,2024-11-08 00:00:00
41558,40,24,22,20,South,2022-05-05 00:00:00
28086,49,26,22,20,North,2021-09-23 00:00:00
31807,55,30,22,21,West,2023-05-07 00:00:00
21258,52,38,22,12,East,2021-10-10 00:00:00
27199,53,25,22,15,West,2024-04-26 00:00:00
38629,83,24,11,14,West,2023-02-18 00:00:00
20165,20,35,11,15,North,2020-08-09 00:00:00
43533,119,39,11,16,South,2021-10-25 00:00:00
44177,94,28,22,19,West,2024-03-05 00:00:00
44586,48,35,22,17,South,2021-11-24 00:00:00
24383,34,23,22,14,North,2021-12-07 00:00:00
26773,10,15,22,15,West,2022-11-01 00:00:00
24530,63,23,11,22,South,2020-01-16 00:00:00
17056,50,26,22,17,West,2024-06-30 00:00:00
16129,97,18,11,17,North,2021-08-26 00:00:00
27883,96,16,22,18,East,2020-09-17 00:00:00
19434,61,37,22,11,South,2023-03-23 00:00:00
27392,53,21,22,15,North,2022-08-09 00:00:00
17907,44,40,22,16,West,2020-07-17 00:00:00
34932,112,45,11,22,South,2023-10-04 00:00:00
20790,117,16,22,21,North,2023-01-28 00:00:00
42294,99,31,22,20,West,2024-04-04 00:00:00
15608,79,41,22,21,North,2020-03-18 00:00:00
34658,67,17,11,17,East,2023-07-05 00:00:00
41883,14,22,22,11,South,2021-05-04 00:00:00
19622,82,45,22,22,South,2024-01-17 00:00:00
18008,113,35,11,20,West,2020-06-21 00:00:00
42229,109,37,11,13,West,2021-06-28 00:00:00
23081,105,28,22,15,West,2022-06-11 00:00:00
29581,66,43,22,21,West,2023-11-10 00:00:00
28281,35,39,22,20,East,2021-12-30 00:00:00
38725,20,44,22,17,East,2024-01-18 00:00:00
39072,96,17,11,13,East,2020-01-04 00:00:00
23769,64,21,11,22,South,2022-04-27 00:00:00
23020,45,23,11,22,South,2022-06-30 00:00:00
40683,6,41,22,17,West,2022-04-27 00:00:00
41743,34,22,22,22,North,2023-05-26 00:00:00
21901,89,15,11,11,North,2020-07-30 00:00:00
20782,12,23,22,11,West,2023-09-04 00:00:00
21458,9,34,22,17,West,2021-09-20 00:00:00
33868,26,40,11,14,West,2024-06-21 00:00:00
43247,6,23,11,15,South,2023-07-14 00:00:00
27313,52,21,22,19,South,2020-05-30 00:00:00
40426,20,36,22,22,West,2024-09-12 00:00:00
21347,60,34,22,13,North,2022-06-21 00:00:00
41482,15,22,11,13,East,2024-06-10 00:00:00
38190,42,25,22,14,North,2020-08-28 00:00:00
19616,92,37,11,19,West,2022-06-17 00:00:00
30469,26,34,11,18,North,2024-05-05 00:00:00
26995,31,15,11,19,South,2024-06-30 00:00:00
39648,111,44,11,14,South,2024-04-25 00:00:00
18424,78,25,22,13,West,2020-04-10 00:00:00
40019,19,24,22,22,North,2023-11-20 00:00:00
21544,79,36,11,18,East,2021-12-05 00:00:00
26268,56,31,11,19,West,2020-04-29 00:00:00
37108,98,28,22,18,South,2024-04-28 00:00:00
23690,22,29,11,14,South,2020-05-10 00:00:00
19328,19,35,22,18,West,2020-09-08 00:00:00
29498,13,39,22,21,West,2021-10-15 00:00:00
33638,54,43,22,19,West,2021-06-20 00:00:00
18026,13,39,11,15,North,2021-04-23 00:00:00
42290,21,25,11,17,North,2022-06-14 00:00:00
33569,34,24,22,20,West,2020-01-13 00:00:00
20403,97,21,22,16,West,2024-09-02 00:00:00
18224,111,29,22,18,East,2023-05-26 00:00:00
38886,73,18,11,16,North,2024-02-22 00:00:00
19857,31,37,11,22,West,2020-07-30 00:00:00
39129,108,24,11,13,West,2024-07-25 00:00:00
35319,52,36,22,14,North,2023-07-14 00:00:00
19358,75,30,22,13,North,2024-02-03 00:00:00
38069,76,40,22,18,West,2022-09-20 00:00:00
40842,119,19,22,13,East,2023-12-24 00:00:00
22253,75,23,22,16,South,2021-04-28 00:00:00
34694,16,34,11,20,East,2024-07-28 00:00:00
22248,116,31,11,15,East,2021-11-23 00:00:00
31443,76,34,11,22,South,2020-01-16 00:00:00
37830,107,19,11,22,South,2024-11-19 00:00:00
17393,15,40,11,19,West,2021-08-17 00:00:00
43586,27,25,22,21,West,2024-12-02 00:00:00
33381,88,30,22,12,North,2023-10-25 00:00:00
38974,23,24,22,20,West,2023-03-23 00:00:00
31509,76,26,22,22,West,2023-07-27 00:00:00
42044,67,18,22,22,East,2024-02-18 00:00:00
21650,118,37,11,20,North,2020-05-06 00:00:00
44738,101,18,11,18,North,2023-10-19 00:00:00
24989,94,19,11,18,South,2020-03-11 00:00:00
43118,105,44,22,14,South,2022-05-19 00:00:00
22312,60,25,22,21,North,2022-11-29 00:00:00
37402,86,19,22,19,North,2021-06-04 00:00:00
19646,32,45,11,12,South,2023-12-26 00:00:00
41363,85,37,22,21,West,2020-04-14 00:00:00
39270,113,35,11,16,West,2024-04-29 00:00:00
22424,75,15,22,22,East,2021-01-09 00:00:00
23389,28,45,22,14,West,2023-09-30 00:00:00
39579,102,20,11,14,North,2024-10-02 00:00:00
38643,8,23,22,12,West,2022-12-29 00:00:00
38181,47,42,22,21,West,2023-10-08 00:00:00
39380,100,34,22,18,East,2022-04-02 00:00:00
25822,36,20,11,20,North,2021-02-08 00:00:00
29008,38,39,22,21,West,2024-11-24 00:00:00
39399,49,28,22,20,South,2024-08-04 00:00:00
30002,92,33,22,21,West,2024-09-23 00:00:00
43985,107,20,22,17,North,2020-12-23 00:00:00
27147,18,23,22,17,East,2020-02-23 00:00:00
29576,101,40,22,13,North,2024-12-03 00:00:00
25987,38,45,22,21,North,2021-06-23 00:00:00
32537,101,35,22,21,South,2021-11-18 00:00:00
19007,5,31,22,18,North,2022-03-05 00:00:00
29729,111,43,22,15,East,2022-08-25 00:00:00
22286,69,44,22,14,West,2021-08-15 00:00:00
43597,8,31,11,17,North,2020-02-20 00:00:00
43594,74,36,11,20,North,2023-12-09 00:00:00
20716,96,19,22,12,East,2020-07-14 00:00:00
37386,29,42,11,17,South,2020-10-14 00:00:00
44544,15,31,11,16,South,2020-02-01 00:00:00
36068,29,34,11,19,South,2020-07-01 00:00:00
18548,83,23,11,16,North,2020-01-03 00:00:00
44462,57,32,11,11,South,2023-03-08 00:00:00
44070,54,21,11,22,South,2021-12-04 00:00:00
25165,101,36,11,11,North,2021-08-19 00:00:00
31968,59,30,11,15,West,2023-05-12 00:00:00
41693,37,30,22,15,East,2022-03-30 00:00:00
17602,50,33,11,20,North,2020-02-09 00:00:00
20040,80,21,11,14,South,2022-01-14 00:00:00
42169,109,25,11,13,North,2023-06-14 00:00:00
39605,25,22,22,21,West,2024-08-15 00:00:00
43780,106,29,11,13,North,2020-08-18 00:00:00
30357,44,37,22,13,East,2020-06-05 00:00:00
43094,114,44,11,11,East,2022-10-08 00:00:00
16982,7,18,11,15,East,2020-07-16 00:00:00
17508,7,37,22,13,North,2020-01-22 00:00:00
43913,119,20,22,19,South,2023-03-12 00:00:00
39447,68,38,11,21,South,2024-05-09 00:00:00
31494,113,41,22,21,South,2020-06-11 00:00:00
40309,33,16,11,22,South,2023-09-22 00:00:00
40664,59,43,22,20,East,2021-10-28 00:00:00
36106,86,31,22,22,South,2021-07-03 00:00:00
18258,86,20,11,11,North,2022-08-13 00:00:00
41097,63,43,22,22,East,2024-10-26 00:00:00
42208,105,29,22,12,West,2021-12-11 00:00:00
23559,37,37,22,17,North,2021-08-26 00:00:00
33082,39,43,11,13,South,2024-12-21 00:00:00
41014,119,45,22,18,South,2021-05-26 00:00:00
26824,99,17,22,15,South,2024-04-09 00:00:00
25763,120,26,22,22,East,2023-03-14 00:00:00
38260,32,44,11,12,East,2020-03-21 00:00:00
39772,83,17,11,15,North,2022-08-09 00:00:00
16209,117,26,22,22,East,2021-03-23 00:00:00
20014,47,33,11,21,North,2020-10-10 00:00:00
25206,80,20,22,19,West,2021-01-31 00:00:00
29410,23,31,22,11,West,2024-08-12 00:00:00
37659,93,43,22,13,East,2020-04-12 00:00:00
22961,36,36,11,18,West,2021-10-28 00:00:00
20660,17,21,11,12,West,2024-10-03 00:00:00
16327,18,43,22,20,East,2023-08-19 00:00:00
27682,26,33,11,17,West,2021-07-13 00:00:00
26327,87,22,22,12,South,2022-12-02 00:00:00
34488,86,42,22,15,West,2020-06-16 00:00:00
16344,57,31,11,19,West,2020-04-26 00:00:00
35284,37,28,11,20,West,2021-11-16 00:00:00
20796,5,20,22,12,North,2021-07-18 00:00:00
31762,44,33,11,15,North,2023-03-30 00:00:00
38176,87,20,22,11,East,2023-04-16 00:00:00
41744,23,34,22,15,East,2020-08-21 00:00:00
29076,13,19,22,16,West,2020-05-31 00:00:00
16691,19,40,11,22,South,2023-01-24 00:00:00
41981,41,34,22,13,East,2022-11-12 00:00:00
15101,75,27,11,21,East,2022-04-07 00:00:00
32192,97,31,22,17,East,2022-01-06 00:00:00
28934,44,17,22,21,West,2020-02-24 00:00:00
15861,46,19,11,17,East,2024-03-23 00:00:00
37007,40,36,22,12,South,2024-04-21 00:00:00
41308,24,31,22,12,West,2020-02-02 00:00:00
37307,56,41,22,16,East,2021-06-26 00:00:00
20567,117,24,11,19,South,2022-03-29 00:00:00
41610,64,19,22,19,South,2020-06-05 00:00:00
44000,91,26,22,17,North,2022-05-27 00:00:00
33361,17,22,11,17,East,2020-08-17 00:00:00
15693,97,23,11,15,South,2022-01-14 00:00:00
23763,29,19,11,21,East,2021-03-13 00:00:00
39529,44,28,11,19,East,2020-03-08 00:00:00
27494,13,34,22,22,North,2022-08-09 00:00:00
35541,82,25,11,16,South,2021-11-18 00:00:00
25063,101,26,22,14,West,2024-04-11 00:00:00
26311,78,16,22,12,East,2022-09-30 00:00:00
29515,49,34,11,11,North,2020-02-12 00:00:00
24325,100,23,22,18,South,2024-12-16 00:00:00
42480,24,19,11,12,West,2020-08-16 00:00:00
39984,82,41,11,20,East,2024-03-06 00:00:00
28994,105,29,11,13,West,2020-08-13 00:00:00
36592,104,24,11,16,North,2024-07-17 00:00:00
39115,112,39,22,20,East,2023-08-17 00:00:00
43908,66,21,11,13,East,2023-09-04 00:00:00
22675,112,37,22,12,East,2022-07-12 00:00:00
17783,43,40,11,17,West,2022-07-19 00:00:00
33847,32,26,11,17,East,2020-11-12 00:00:00
23603,74,19,11,13,North,2023-11-16 00:00:00
20794,35,29,22,19,South,2023-12-31 00:00:00
21618,40,30,11,21,West,2022-09-18 00:00:00
29580,43,31,11,22,West,2020-12-08 00:00:00
33011,101,32,22,14,North,2024-04-20 00:00:00
32586,110,27,22,15,North,2021-12-09 00:00:00
34971,24,45,11,21,West,2024-04-09 00:00:00
38710,53,15,11,18,South,2021-09-04 00:00:00
37796,96,32,22,20,North,2023-02-11 00:00:00
16619,22,17,22,21,West,2024-10-21 00:00:00
30009,95,24,11,22,East,2020-08-05 00:00:00
17427,101,17,22,18,South,2024-12-18 00:00:00
32367,116,15,11,14,South,2020-07-01 00:00:00
17464,61,36,22,18,West,2021-10-18 00:00:00
29291,68,24,22,18,South,2020-11-15 00:00:00
40461,43,32,22,19,West,2023-04-23 00:00:00
38694,67,35,22,21,North,2024-03-30 00:00:00
17329,40,32,22,21,South,2023-10-02 00:00:00
43793,94,21,22,19,North,2021-08-27 00:00:00
22919,54,39,22,11,West,2023-04-14 00:00:00
22864,98,29,22,16,East,2020-04-19 00:00:00
20662,17,22,11,19,North,2021-07-11 00:00:00
16210,17,39,22,11,North,2020-12-06 00:00:00
35039,38,38,22,15,West,2020-01-06 00:00:00
19299,89,34,11,14,North,2022-09-20 00:00:00
34188,93,19,11,18,North,2021-08-10 00:00:00
39015,32,41,22,22,South,2024-02-02 00:00:00
40226,11,33,11,12,West,2024-02-06 00:00:00
42447,20,38,11,19,East,2020-07-16 00:00:00
27192,111,31,22,16,North,2022-04-04 00:00:00
18874,81,41,22,15,South,2022-05-05 00:00:00
29709,15,42,11,20,North,2020-04-09 00:00:00
34245,29,31,11,21,East,2024-08-17 00:00:00
17254,16,24,11,14,West,2023-08-12 00:00:00
20732,119,30,11,13,North,2023-08-02 00:00:00
21179,41,23,11,12,North,2022-10-10 00:00:00
39192,5,41,11,16,West,2021-01-29 00:00:00
36919,113,45,22,20,South,2022-12-19 00:00:00
44472,60,29,22,20,West,2024-10-31 00:00:00
31488,7,27,11,13,South,2024-05-15 00:00:00
25808,97,18,22,13,West,2023-03-05 00:00:00
31343,105,45,22,14,West,2022-12-29 00:00:00
23264,75,44,11,11,West,2022-05-12 00:00:00
23483,111,16,11,20,East,2020-12-17 00:00:00
29748,84,17,11,11,South,2020-01-15 00:00:00
23861,34,32,22,22,West,2024-03-22 00:00:00
23121,71,21,22,19,South,2022-11-14 00:00:00
25628,36,15,22,22,West,2024-01-10 00:00:00
24960,42,21,11,16,South,2020-10-15 00:00:00
16907,52,34,11,18,East,2020-09-15 00:00:00
28539,103,16,22,21,West,2020-04-28 00:00:00
36977,24,19,22,12,West,2022-11-13 00:00:00
34765,109,15,11,18,North,2020-03-15 00:00:00
20154,76,16,22,12,East,2021-02-26 00:00:00
25253,82,15,11,13,East,2023-09-16 00:00:00
22501,107,35,11,13,South,2024-05-04 00:00:00
21949,76,22,11,16,South,2022-10-30 00:00:00
25889,62,29,11,16,East,2024-09-22 00:00:00
31067,59,39,22,16,East,2020-07-23 00:00:00
36442,51,38,11,13,South,2020-06-13 00:00:00
15011,26,31,22,22,East,2023-08-16 00:00:00
35394,111,29,11,12,East,2022-10-28 00:00:00
28126,10,45,22,21,North,2023-08-14 00:00:00
22314,68,24,11,20,West,2024-08-26 00:00:00
33735,53,39,11,17,East,2023-09-02 00:00:00
22687,99,18,22,22,West,2020-06-24 00:00:00
24329,100,44,11,19,East,2023-11-14 00:00:00
37719,26,39,22,11,South,2022-06-11 00:00:00
43652,108,26,22,13,West,2022-04-03 00:00:00
42290,73,25,22,13,West,2022-07-04 00:00:00
29068,95,15,22,18,North,2020-02-02 00:00:00
42431,42,39,11,21,North,2024-08-21 00:00:00
38561,93,43,22,15,South,2024-02-29 00:00:00
27899,13,23,11,13,South,2023-02-11 00:00:00
24206,49,20,22,11,West,2023-09-04 00:00:00
29782,63,20,22,22,West,2023-09-01 00:00:00
35571,102,39,11,12,North,2022-12-28 00:00:00
19001,12,25,11,18,North,2020-12-29 00:00:00
22068,49,24,11,21,North,2022-07-22 00:00:00
22811,112,44,22,20,West,2020-10-19 00:00:00
26456,102,18,22,20,East,2021-03-23 00:00:00
43225,56,16,22,11,West,2021-01-30 00:00:00
36537,92,16,11,15,South,2020-09-28 00:00:00
39144,51,16,22,21,East,2021-09-04 00:00:00
18420,98,24,11,18,East,2024-04-23 00:00:00
38556,66,25,22,16,East,2021-08-21 00:00:00
22413,19,27,22,19,North,2020-10-20 00:00:00
23064,110,45,22,15,North,2022-11-18 00:00:00
43676,52,21,22,12,West,2021-10-09 00:00:00
44876,9,26,22,11,West,2021-03-14 00:00:00
35178,85,16,11,16,South,2022-07-01 00:00:00
39364,5,18,22,19,North,2023-12-31 00:00:00
29252,38,18,11,18,North,2020-01-30 00:00:00
27109,7,35,11,13,North,2020-12-21 00:00:00
25026,107,25,11,14,East,2024-11-12 00:00:00
21631,120,25,11,14,North,2023-06-10 00:00:00
34518,85,15,11,21,East,2021-07-21 00:00:00
41649,87,28,11,21,South,2021-11-20 00:00:00
24514,101,31,22,12,East,2021-01-13 00:00:00
32314,101,21,11,15,West,2024-10-01 00:00:00
30387,39,17,11,15,East,2020-07-12 00:00:00
34263,72,22,22,15,East,2022-03-13 00:00:00
44053,64,37,11,20,North,2022-03-11 00:00:00
39271,31,44,22,15,North,2020-08-04 00:00:00
40416,91,41,11,18,North,2023-07-03 00:00:00
28424,21,45,11,20,West,2024-05-24 00:00:00
43631,18,44,11,15,West,2023-10-27 00:00:00
43382,89,26,11,12,East,2021-12-28 00:00:00
22074,48,45,22,17,West,2020-08-22 00:00:00
25681,82,16,22,16,West,2021-02-06 00:00:00
44740,92,33,11,11,North,2021-04-26 00:00:00
40690,76,39,11,18,East,2023-05-30 00:00:00
33922,9,33,11,17,North,2020-02-29 00:00:00
35772,38,29,11,21,West,2020-12-27 00:00:00
43586,52,35,22,19,South,2024-01-07 00:00:00
36878,116,44,22,14,North,2022-08-19 00:00:00
39092,17,35,11,20,West,2024-01-07 00:00:00
36293,37,40,22,16,East,2021-01-16 00:00:00
15064,18,39,11,17,East,2021-08-22 00:00:00
40664,54,16,11,11,South,2021-10-10 00:00:00
32189,65,37,22,14,North,2024-10-19 00:00:00
24089,63,20,11,17,South,2023-03-27 00:00:00
26253,40,45,11,13,North,2022-11-19 00:00:00
23510,112,23,11,13,South,2023-05-02 00:00:00
42572,69,41,22,17,South,2020-01-25 00:00:00
37197,58,24,11,15,South,2024-11-10 00:00:00
32910,74,41,22,17,North,2020-05-22 00:00:00
43469,96,15,22,21,North,2024-12-13 00:00:00
21868,20,35,11,15,West,2021-07-30 00:00:00
37406,57,31,22,20,South,2022-04-09 00:00:00
33466,52,21,11,17,South,2021-07-26 00:00:00
40171,21,34,22,14,East,2022-05-24 00:00:00
20351,62,45,22,18,East,2024-12-20 00:00:00
29690,82,38,22,20,West,2021-03-10 00:00:00
44388,67,26,11,18,North,2024-07-17 00:00:00
26341,94,33,22,16,North,2021-04-22 00:00:00
39098,78,34,11,13,South,2024-02-08 00:00:00
27582,41,24,22,18,East,2020-10-19 00:00:00
43103,71,15,22,14,North,2020-11-17 00:00:00
30032,8,43,11,15,South,2024-05-05 00:00:00
17405,61,21,11,16,South,2022-05-11 00:00:00
20458,57,38,22,16,East,2021-01-30 00:00:00
38930,35,22,11,13,South,2021-12-04 00:00:00
19944,118,43,22,12,South,2023-02-02 00:00:00
36984,26,29,22,21,West,2023-05-12 00:00:00
36409,34,26,22,19,South,2020-03-17 00:00:00
25211,42,22,22,22,East,2020-11-03 00:00:00
39695,92,44,11,18,North,2022-11-14 00:00:00
22190,61,23,11,15,West,2020-07-03 00:00:00
43490,99,35,22,19,West,2021-10-26 00:00:00
34222,119,43,11,21,West,2023-01-17 00:00:00
25603,79,39,11,19,South,2021-07-18 00:00:00
38076,61,35,11,18,East,2022-08-03 00:00:00
19358,97,31,11,14,West,2020-01-09 00:00:00
33968,102,43,22,14,South,2021-08-17 00:00:00
39751,20,30,11,12,South,2023-05-21 00:00:00
44417,6,33,11,20,North,2024-07-18 00:00:00
21181,95,28,22,15,North,2024-09-26 00:00:00
31882,12,40,22,16,East,2023-08-11 00:00:00
33537,24,44,22,11,South,2023-09-04 00:00:00
43783,7,23,22,18,West,2022-12-19 00:00:00
29668,10,26,22,19,North,2021-08-07 00:00:00
41153,52,35,22,22,South,2021-02-06 00:00:00
43233,44,27,11,17,West,2022-04-11 00:00:00
42080,42,28,22,17,East,2022-06-13 00:00:00
35348,40,29,11,14,West,2023-04-15 00:00:00
28248,39,15,11,21,East,2023-09-15 00:00:00
39161,101,32,11,19,West,2022-09-01 00:00:00
42075,61,16,11,18,East,2020-12-29 00:00:00
44346,43,38,11,17,East,2022-05-08 00:00:00
